"id","age","political_affiliation","libcon","ownhouse","sex","income","highested","employment","Y2","Y3","Y4","Y5","Y6","Y7","Y8"
647,54.201232032854,"(2) Republican","(2) Conservative","(2) No","(0) Female","(3) $25,000 to $34,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
668,41.147159479808,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(4) $35,000 to $49,999","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(0) Neither negative or positive"
669,47.170431211499,"(4) Undeclared","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
675,24.142368240931,"(3) Independent","(3) Liberal","(2) No","(0) Female","(3) $25,000 to $34,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
677,34.316221765914,"(3) Independent","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(1) Slightly positive","(-2) Very negative","(1) Slightly positive","(1) Slightly positive","(-1) Slightly negative"
678,44.470910335387,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(6) $75,000 or more","(6) College graduate","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(0) Neither negative or positive","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
680,35.033538672142,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(1) Slightly positive","(-2) Very negative","(1) Slightly positive","(-1) Slightly negative","(1) Slightly positive","(0) Neither negative or positive","(-1) Slightly negative"
682,51.381245722108,"(3) Independent","(3) Liberal","(2) No","(0) Female","(1) Under $15,000","(7) More than college graduate","(1) No","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
684,50.746064339494,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative"
685,26.84462696783,"(5) Other","(2) Conservative","(2) No","(0) Female","(1) Under $15,000","(1) 8th grade or less","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
686,53.648186173854,"(4) Undeclared","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(3) High school graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
689,36.7446954141,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive"
692,27.76180698152,"(1) Democrat","(4) Very Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-2) Very negative"
696,46.036960985626,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
699,29.522245037645,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(4) $35,000 to $49,999","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
703,32.260095824778,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(4) $35,000 to $49,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
704,68.109514031485,"(3) Independent","(3) Liberal","(2) No","(1) Male","(3) $25,000 to $34,999","(4) Vocational","(4) Retired","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(-2) Very negative"
705,42.748802190281,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
708,37.817932922656,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(7) More than college graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
709,61.697467488022,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(5) Some college","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
720,49.467488021903,"(2) Republican","(2) Conservative","(2) No","(0) Female","(6) $75,000 or more","(3) High school graduate","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
723,31.575633127995,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive"
730,31.655030800821,"(2) Republican","(1) Very Conservative","(2) No","(1) Male","(4) $35,000 to $49,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative"
733,31.233401779603,"(1) Democrat","(4) Very Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(1) Slightly positive","(2) Very positive","(1) Slightly positive"
737,51.066392881588,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
741,36.07665982204,"(3) Independent","(2) Conservative","(1) Yes","(1) Male","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(1) Slightly positive","(-1) Slightly negative"
743,26.428473648186,"(1) Democrat","(4) Very Liberal","(2) No","(0) Female","(2) $15,000 to $24,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
744,32.810403832991,"(1) Democrat","(4) Very Liberal","(1) Yes","(1) Male","(6) $75,000 or more","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive"
745,31.123887748118,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
747,30.447638603696,"(3) Independent","(3) Liberal","(2) No","(0) Female","(5) $50,000 to $74,999","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(2) Very positive","(-2) Very negative","(-2) Very negative"
753,22.559890485969,"(1) Democrat","(2) Conservative","(1) Yes","(1) Male","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(1) Slightly positive","(1) Slightly positive","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative"
755,54.190280629706,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative"
757,32.588637919233,"(3) Independent","(2) Conservative","(1) Yes","(1) Male","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
758,42.277891854894,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative"
760,32.465434633812,"(1) Democrat","(3) Liberal","(1) Yes","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative"
761,27.238877481177,"(4) Undeclared","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(1) No","(-1) Slightly negative","(0) Neither negative or positive","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
762,27.019849418207,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(1) Slightly positive","(-1) Slightly negative","(-2) Very negative","(1) Slightly positive","(1) Slightly positive","(-1) Slightly negative"
770,37.388090349076,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative"
779,31.080082135524,"(3) Independent","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative","(1) Slightly positive","(-1) Slightly negative","(-1) Slightly negative"
781,30.283367556468,"(3) Independent","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(0) Neither negative or positive","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
782,40.503764544832,"(4) Undeclared","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(3) High school graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative"
795,37.675564681725,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative"
800,58.789869952088,"(1) Democrat","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
808,25.90006844627,"(1) Democrat","(3) Liberal","(1) Yes","(1) Male","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative"
811,28.227241615332,"(1) Democrat","(3) Liberal","(2) No","(1) Male","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
812,20.928131416838,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(2) Yes, Part-time","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(1) Slightly positive","(0) Neither negative or positive","(-1) Slightly negative"
816,24.632443531828,"(1) Democrat","(4) Very Liberal","(2) No","(1) Male","(5) $50,000 to $74,999","(7) More than college graduate","(3) Yes, Full-time","(-1) Slightly negative","(1) Slightly positive","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
817,41.875427789185,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(3) $25,000 to $34,999","(6) College graduate","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative"
818,26.321697467488,"(2) Republican","(2) Conservative","(2) No","(0) Female","(4) $35,000 to $49,999","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive","(-2) Very negative"
822,44.799452429843,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(-2) Very negative"
827,27.600273785079,"(3) Independent","(4) Very Liberal","(1) Yes","(0) Female","(2) $15,000 to $24,999","(5) Some college","(2) Yes, Part-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive"
829,33.648186173854,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(4) $35,000 to $49,999","(5) Some college","(1) No","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative"
832,31.901437371663,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(1) Slightly positive","(0) Neither negative or positive"
835,52.065708418891,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(5) Some college","(1) No","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(1) Slightly positive","(0) Neither negative or positive","(0) Neither negative or positive"
838,48.167008898015,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(5) Some college","(5) Working inside the home only","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(-2) Very negative"
839,54.184804928131,"(1) Democrat","(2) Conservative","(1) Yes","(0) Female","(6) $75,000 or more","(3) High school graduate","(3) Yes, Full-time","(1) Slightly positive","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
845,49.281314168378,"(1) Democrat","(2) Conservative","(1) Yes","(1) Male","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative"
847,52.145106091718,"(4) Undeclared","(3) Liberal","(1) Yes","(0) Female","(3) $25,000 to $34,999","(3) High school graduate","(3) Yes, Full-time","(-2) Very negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(0) Neither negative or positive"
868,23.540041067762,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(-2) Very negative","(0) Neither negative or positive","(-2) Very negative"
869,35.126625598905,"(3) Independent","(3) Liberal","(1) Yes","(0) Female","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
872,49.577002053388,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(5) Working inside the home only","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive"
882,21.440109514031,"(3) Independent","(2) Conservative","(1) Yes","(1) Male","(6) $75,000 or more","(5) Some college","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(0) Neither negative or positive","(-1) Slightly negative","(0) Neither negative or positive","(-2) Very negative","(-1) Slightly negative"
883,56.128678986995,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(5) Some college","(5) Working inside the home only","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
884,27.381245722108,"(3) Independent","(3) Liberal","(2) No","(0) Female","(5) $50,000 to $74,999","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
885,67.548254620123,"(2) Republican","(1) Very Conservative","(1) Yes","(1) Male","(6) $75,000 or more","(5) Some college","(4) Retired","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
891,53.130732375086,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(4) $35,000 to $49,999","(2) High school, no graduate","(4) Retired","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
895,30.173853524983,"(1) Democrat","(1) Very Conservative","(2) No","(1) Male","(6) $75,000 or more","(7) More than college graduate","(3) Yes, Full-time","(-2) Very negative","(1) Slightly positive","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-1) Slightly negative"
907,49.467488021903,"(2) Republican","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(7) More than college graduate","(2) Yes, Part-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative"
911,19.96167008898,"(4) Undeclared","(2) Conservative","(2) No","(1) Male","(4) $35,000 to $49,999","(3) High school graduate","(2) Yes, Part-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(1) Slightly positive","(-1) Slightly negative"
939,27.529089664613,"(1) Democrat","(3) Liberal","(1) Yes","(1) Male","(5) $50,000 to $74,999","(6) College graduate","(3) Yes, Full-time","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(1) Slightly positive","(0) Neither negative or positive","(-1) Slightly negative"
945,46.973305954825,"(4) Undeclared","(2) Conservative","(1) Yes","(0) Female","(5) $50,000 to $74,999","(3) High school graduate","(3) Yes, Full-time","(-2) Very negative","(0) Neither negative or positive","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative","(-2) Very negative"
954,50.877481177276,"(1) Democrat","(2) Conservative","(2) No","(0) Female","(4) $35,000 to $49,999","(5) Some college","(4) Retired","(-2) Very negative","(-1) Slightly negative","(-2) Very negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
955,58.710472279261,"(1) Democrat","(3) Liberal","(2) No","(0) Female","(6) $75,000 or more","(6) College graduate","(3) Yes, Full-time","(-2) Very negative","(-1) Slightly negative","(-1) Slightly negative","(-1) Slightly negative","(0) Neither negative or positive","(0) Neither negative or positive","(-1) Slightly negative"
